学年,組,番号,性別,配属企業No,企業名,業種,受け入れ先住所,緯度,経度,日付,最寄り駅,市町,距離km,業種マッチ,①業種(I),②業種(L),第1希望(P),第2希望(R),第3希望(T),大会重複,備考
1,5,21,女,2B,サンハウス食品株式会社,食品製造,愛知県江南市高屋町西里７７番地,35.353722,136.875168,7/28(火),犬山口駅,犬山市,6.5,✅IL一致,製造（食品）,製造（食品）,製造業（食品系）,製造業（全般）,販売・サービス,,
1,5,22,女,5I,江南市立古知野南保育園,保育,江南市古知野町塔塚160,35.336178,136.867859,7/28(火),江南駅,江南市小脇町,0.5,✅IL一致,美容,保育・幼児教育,保育・幼児教育,販売・サービス,福祉・介護,,
1,5,23,女,5I,江南市立古知野南保育園,保育,江南市古知野町塔塚160,35.336178,136.867859,7/30(木),江南駅,江南市松竹町,0.5,✅IL一致,保育・幼児教育,アパレル,保育・幼児教育,販売・サービス,製造業（食品系）,,
1,5,24,女,1K,グンゼ江南工場,エンジニアリングプラスチックの製造,愛知県江南市村久野町鳥附１番地,35.352619,136.869812,7/31(金),一宮駅,一宮市冨塚町,8.1,✅IL一致,製造（工業）,製造（工業）,製造業（全般）,販売・サービス,製造業（食品系）,,
1,5,25,女,5L,江南市立門弟山保育園,福祉サービス,江南市村久野町門弟山271,35.348694,136.863403,7/31(金),西春駅,北名古屋市,9.7,✅IL一致,製造（食品）,販売・サービス,販売・サービス,製造業（食品系）,保育・幼児教育,,
1,5,26,男,5N,江南市立布袋東保育園,保育園,江南市小折町八反畑１４７,35.311016,136.875839,7/27(月),岩倉駅,岩倉市東町,3.5,⭕第3希望,販売・サービス,製造（食品）,販売・サービス,製造業（食品系）,保育・幼児教育,,
1,5,27,女,44A2,サロンド榮,美容業,一宮市浅野西大土106,35.294224,136.82579,7/29(水),布袋駅,江南市寄木町,6.8,✅IL一致,美容,美容,販売・サービス,製造業（食品系）,製造業（全般）,,
1,5,28,女,5I,江南市立古知野南保育園,保育,江南市古知野町塔塚160,35.336178,136.867859,7/31(金),江南駅,江南市河野町,0.5,✅IL一致,保育・幼児教育,製造（工業）,保育・幼児教育,福祉・介護,製造業（全般）,,
1,5,29,女,5D,江南市立古知野北保育園,保育園　児童福祉施設,江南市勝佐町田代137番地,35.354492,136.88533,7/27(月),扶桑駅,丹羽郡扶桑町,2.6,⭕第3希望,製造（食品）,製造（食品）,製造業（食品系）,販売・サービス,福祉・介護,,
1,5,30,女,2B,サンハウス食品株式会社,食品製造,愛知県江南市高屋町西里７７番地,35.353722,136.875168,7/28(火),一宮駅,一宮市尾西,8.6,✅IL一致,製造（食品）,製造（食品）,製造業（食品系）,販売・サービス,配送・運搬（物流）,,
1,5,31,女,5N,江南市立布袋東保育園,保育園,江南市小折町八反畑１４７,35.311016,136.875839,7/27(月),徳重名古屋芸大前駅,北名古屋市,7.1,✅IL一致,保育・幼児教育,美容,保育・幼児教育,福祉・介護,販売・サービス,,
1,5,32,女,5J,江南市立布袋北保育園,保育園,江南市安良町八王子137,35.324711,136.881989,7/28(火),木津用水駅,犬山市,1.9,✅IL一致,製造（食品）,保育・幼児教育,福祉・介護,保育・幼児教育,製造業（食品系）,,
1,5,33,女,5D,江南市立古知野北保育園,保育園　児童福祉施設,江南市勝佐町田代137番地,35.354492,136.88533,7/27(月),栢森駅,丹羽郡大口町,3.0,⭕第2希望,運輸・物流,販売・サービス,販売・サービス,福祉・介護,配送・運搬（物流）,,
1,5,34,女,1G,株式会社青山製作所　大口工場,製造業（自動車部品）,愛知県丹羽郡大口町高橋一丁目8番地,35.3251,136.895706,7/28(火),岩倉駅,小牧市多気北町,5.5,✅IL一致,販売・サービス,製造（工業）,販売・サービス,製造業（全般）,保育・幼児教育,,
1,5,35,男,5N,江南市立布袋東保育園,保育園,江南市小折町八反畑１４７,35.311016,136.875839,7/27(月),名鉄名古屋駅,名古屋市中村区,14.7,⭕第3希望,製造（食品）,販売・サービス,販売・サービス,製造業（食品系）,福祉・介護,,
1,5,36,女,3D,ＮＸキャッシュ・ロジスティクス株式会社　中部支店,物流業・警備業,愛知県名古屋市中村区並木1-81-1,35.154476,136.850098,7/27(月),平針駅,名古屋市天白区,11.5,🔴不一致,美容,美容,販売・サービス,保育・幼児教育,福祉・介護,,
1,5,37,女,41E,株式会社綿半ホームエイド江南店,小売業,江南市上奈良町緑13,35.332783,136.859161,7/29(水),一宮駅,一宮市松山町,6.0,⭕第2希望,製造（食品）,製造（食品）,製造業（食品系）,販売・サービス,配送・運搬（物流）,,
1,5,38,女,5L,江南市立門弟山保育園,福祉サービス,江南市村久野町門弟山271,35.348694,136.863403,7/27(月),栢森駅,丹羽郡大口町,5.0,✅IL一致,販売・サービス,製造（食品）,販売・サービス,製造業（食品系）,製造業（全般）,,
1,5,39,男,5N,江南市立布袋東保育園,保育園,江南市小折町八反畑１４７,35.311016,136.875839,7/27(月),西春駅,北名古屋市,5.4,⭕第3希望,販売・サービス,製造（食品）,販売・サービス,製造業（食品系）,保育・幼児教育,,
1,5,40,女,41C,江南郵便局,複合サービス事業,江南市赤童子町良原143-1,35.33247,136.866745,7/28(火),江南駅,江南市,0.4,⭕第2希望,製造（食品）,製造（食品）,製造業（食品系）,販売・サービス,配送・運搬（物流）,,
2,1,1,女,41B,ドコモショップ江南店,小売業,愛知県江南市木賀町定和163,35.323132,136.868393,7/27(月),布袋駅,江南市中奈良町,2.3,✅IL一致,製造（食品）,販売・サービス,販売・サービス,製造業（食品系）,配送・運搬（物流）,,
2,1,2,女,1E,アイカテック建材株式会社名古屋工場　※安全靴貸出のためサイズを要連絡,製造業,愛知県海部郡大治町大字西條字西之川２５,35.188705,136.809784,7/28(火),上小田井駅,名古屋市五才美町,6.9,✅IL一致,製造（工業）,製造（工業）,製造業（全般）,保育・幼児教育,製造業（食品系）,,
2,1,3,男,5N,江南市立布袋東保育園,保育園,江南市小折町八反畑１４７,35.311016,136.875839,7/28(火),岩倉駅,岩倉市大市場町,3.5,✅IL一致,保育・幼児教育,販売・サービス,保育・幼児教育,販売・サービス,製造業（全般）,,
2,1,4,女,1G,株式会社青山製作所　大口工場,製造業（自動車部品）,愛知県丹羽郡大口町高橋一丁目8番地,35.3251,136.895706,7/28(火),木曽川駅,一宮市,1.6,✅IL一致,製造（工業）,製造（工業）,製造業（全般）,保育・幼児教育,販売・サービス,,
2,1,5,男,5L,江南市立門弟山保育園,福祉サービス,江南市村久野町門弟山271,35.348694,136.863403,8/24(月),布袋駅,一宮市,4.2,⭕第2希望,製造（食品）,製造（食品）,製造業（食品系）,販売・サービス,保育・幼児教育,,
2,1,6,女,44B,美容室ISA,美容室,丹羽郡大口町丸2-36 メガドンキユニー大口店　1F,35.330742,136.905304,7/27(月),江南駅,江南市野白町,3.1,✅IL一致,美容,美容,販売・サービス,製造業（全般）,製造業（食品系）,,
2,1,7,女,44B,美容室ISA,美容室,丹羽郡大口町丸2-36 メガドンキユニー大口店　1F,35.330742,136.905304,7/27(月),江南駅,江南市古知野町,3.1,✅IL一致,美容,美容,販売・サービス,製造業（食品系）,製造業（全般）,,
2,1,8,女,5L,江南市立門弟山保育園,福祉サービス,江南市村久野町門弟山271,35.348694,136.863403,8/25(火),一宮駅,一宮市,7.4,✅IL一致,美容,販売・サービス,販売・サービス,保育・幼児教育,製造業（食品系）,,
2,1,9,女,43B,きもの館なかね,着物小売業,愛知県江南市古知野町本郷３４,35.339359,136.871674,8/24(月),江南駅,各務原市川島松倉町,0.8,✅IL一致,アパレル,美容,販売・サービス,製造業（全般）,製造業（食品系）,,
2,1,10,男,44C,TJ天気予報 7mm 北名古屋店,美容室,北名古屋市鹿田才海82番2,35.235859,136.881241,8/25(火),上小田井駅,北名古屋市,1.6,✅IL一致,美容,美容,販売・サービス,保育・幼児教育,製造業（食品系）,8/27～29,
2,1,11,女,1I,株式会社東海理化電機製作所,メーカー,愛知県丹羽郡大口町豊田三丁目260番地,35.308201,136.892395,8/25(火),西春駅,北名古屋市,4.8,✅IL一致,製造（工業）,製造（工業）,製造業（全般）,製造業（食品系）,販売・サービス,,
2,1,12,女,44C,TJ天気予報 7mm 北名古屋店,美容室,北名古屋市鹿田才海82番2,35.235859,136.881241,8/25(火),西春駅,北名古屋市,3.5,✅IL一致,美容,美容,販売・サービス,製造業（全般）,保育・幼児教育,,
2,1,13,女,41C,江南郵便局,複合サービス事業,江南市赤童子町良原143-1,35.33247,136.866745,7/29(水),江南駅,江南市赤童子町,0.4,✅IL一致,販売・サービス,美容,販売・サービス,製造業（全般）,製造業（食品系）,7月28日,
2,1,14,男,3D,ＮＸキャッシュ・ロジスティクス株式会社　中部支店,物流業・警備業,愛知県名古屋市中村区並木1-81-1,35.154476,136.850098,7/27(月),徳重名古屋芸大前駅,北名古屋市鹿田町,11.4,✅IL一致,販売・サービス,運輸・物流,販売・サービス,配送・運搬（物流）,製造業（全般）,,
2,1,15,女,43B,きもの館なかね,着物小売業,愛知県江南市古知野町本郷３４,35.339359,136.871674,8/24(月),江南駅,江南市古知野町,0.8,⭕第2希望,製造（食品）,製造（食品）,製造業（食品系）,販売・サービス,製造業（全般）,,
2,1,16,女,5L,江南市立門弟山保育園,福祉サービス,江南市村久野町門弟山271,35.348694,136.863403,8/26(水),一宮駅,一宮市浅井町,7.4,✅IL一致,アパレル,販売・サービス,販売・サービス,保育・幼児教育,製造業（食品系）,,
2,1,17,女,5L,江南市立門弟山保育園,福祉サービス,江南市村久野町門弟山271,35.348694,136.863403,8/27(木),一宮駅,一宮市,7.4,✅IL一致,販売・サービス,販売・サービス,販売・サービス,保育・幼児教育,製造業（食品系）,,
2,1,18,女,5N,江南市立布袋東保育園,保育園,江南市小折町八反畑１４７,35.311016,136.875839,7/28(火),西春駅,北名古屋市久地牧野町,5.4,✅IL一致,販売・サービス,保育・幼児教育,保育・幼児教育,販売・サービス,配送・運搬（物流）,8月21日,
2,1,19,男,3B,キムラユニティー株式会社　犬山工場（調整中）,物流（倉庫）,愛知県犬山市字舟田10番地,35.329754,136.943909,7/28(火),栢森駅,江南市江森町,3.9,✅IL一致,運輸・物流,販売・サービス,販売・サービス,配送・運搬（物流）,製造業（全般）,,
2,1,20,女,41C,江南郵便局,複合サービス事業,江南市赤童子町良原143-1,35.33247,136.866745,7/29(水),江南駅,江南市飛高町,0.4,✅IL一致,販売・サービス,運輸・物流,販売・サービス,製造業（全般）,製造業（食品系）,7月28日,
2,1,21,女,43B,きもの館なかね,着物小売業,愛知県江南市古知野町本郷３４,35.339359,136.871674,8/24(月),江南駅,江南市古知野町,0.8,✅IL一致,アパレル,美容,販売・サービス,製造業（食品系）,製造業（全般）,,
2,1,22,男,41B,ドコモショップ江南店,小売業,愛知県江南市木賀町定和163,35.323132,136.868393,7/27(月),岩倉駅,岩倉市本町,4.9,✅IL一致,製造（食品）,販売・サービス,販売・サービス,製造業（食品系）,配送・運搬（物流）,,
2,1,23,女,5C,江南市立布袋西保育園,1歳～5歳児を保育する保育所,江南市木賀町定和３１,35.323299,136.867432,7/27(月),江南駅,江南市飛高町,1.0,✅IL一致,販売・サービス,保育・幼児教育,販売・サービス,保育・幼児教育,製造業（食品系）,,
2,1,24,女,5N,江南市立布袋東保育園,保育園,江南市小折町八反畑１４７,35.311016,136.875839,7/28(火),徳重名古屋芸大前駅,北名古屋市,7.1,✅IL一致,保育・幼児教育,アパレル,保育・幼児教育,販売・サービス,製造業（全般）,,
2,1,25,女,43B,きもの館なかね,着物小売業,愛知県江南市古知野町本郷３４,35.339359,136.871674,8/25(火),布袋駅,一宮市,2.9,⭕第2希望,製造（食品）,製造（食品）,製造業（食品系）,販売・サービス,製造業（全般）,,
2,1,26,女,5L,江南市立門弟山保育園,福祉サービス,江南市村久野町門弟山271,35.348694,136.863403,8/28(金),江南駅,江南市宮後町,2.0,⭕第1希望,美容,美容,販売・サービス,保育・幼児教育,製造業（食品系）,8月24日,
2,1,27,女,1H,リスパック株式会社 真空成形工場,製造業,愛知県犬山市羽黒宮浦1番地,35.34903,136.941666,7/28(火),犬山駅,犬山市薬師町,3.3,✅IL一致,製造（工業）,製造（工業）,製造業（全般）,製造業（食品系）,福祉・介護,8月21日,
2,1,28,女,1C,東罐興業株式会社　小牧工場,製造業,愛知県小牧市東田中2118,35.298954,136.94664,7/27(月),西春駅,北名古屋市,5.9,✅IL一致,製造（工業）,製造（工業）,製造業（全般）,販売・サービス,保育・幼児教育,,
2,1,29,男,43B,きもの館なかね,着物小売業,愛知県江南市古知野町本郷３４,35.339359,136.871674,8/25(火),布袋駅,江南市南山町,2.9,✅IL一致,製造（食品）,販売・サービス,販売・サービス,製造業（食品系）,製造業（全般）,,
2,1,30,女,5C,江南市立布袋西保育園,1歳～5歳児を保育する保育所,江南市木賀町定和３１,35.323299,136.867432,7/27(月),江南駅,江南市村久野町,1.0,✅IL一致,保育・幼児教育,美容,保育・幼児教育,販売・サービス,製造業（食品系）,7/29，30,
2,1,31,女,44D,アメーテールアーム,美容室,愛知県小牧市市之久田1-73-1,35.274368,136.920776,8/26(水),西春駅,北名古屋市,2.5,✅IL一致,美容,美容,販売・サービス,保育・幼児教育,製造業（全般）,7/27～31,
2,1,32,男,43B,きもの館なかね,着物小売業,愛知県江南市古知野町本郷３４,35.339359,136.871674,8/25(火),江南駅,江南市山王町,0.8,✅IL一致,製造（食品）,販売・サービス,販売・サービス,製造業（食品系）,製造業（全般）,8/27～29,
2,1,33,女,5N,江南市立布袋東保育園,保育園,江南市小折町八反畑１４７,35.311016,136.875839,7/28(火),西春駅,北名古屋市,5.4,✅IL一致,美容,保育・幼児教育,販売・サービス,福祉・介護,保育・幼児教育,8/27～29,
2,1,34,男,5L,江南市立門弟山保育園,福祉サービス,江南市村久野町門弟山271,35.348694,136.863403,7/28(火),木曽川駅,一宮市大毛字申塚,4.0,✅IL一致,アパレル,アパレル,販売・サービス,製造業（食品系）,製造業（全般）,8/27～29,
2,1,35,男,41A,株式会社愛知イエローハット　一宮店,小売・サービス業（カー用品）,一宮市緑４－３ー１３,35.299957,136.822708,8/25(火),石仏駅,小牧市西之島町,7.7,✅IL一致,アパレル,アパレル,販売・サービス,製造業（全般）,製造業（食品系）,8月26日,
2,1,36,女,5N,江南市立布袋東保育園,保育園,江南市小折町八反畑１４７,35.311016,136.875839,7/28(火),上小田井駅,北名古屋市久地野町,9.9,✅IL一致,美容,保育・幼児教育,保育・幼児教育,販売・サービス,製造業（食品系）,,
2,2,1,男,5C,江南市立布袋西保育園,1歳～5歳児を保育する保育所,江南市木賀町定和３１,35.323299,136.867432,7/28(火),江南駅,江南市勝佐町,1.0,⭕第3希望,製造（食品）,製造（食品）,製造業（食品系）,販売・サービス,保育・幼児教育,,
2,2,2,男,5N,江南市立布袋東保育園,保育園,江南市小折町八反畑１４７,35.311016,136.875839,7/29(水),石仏駅,一宮市千秋町,5.4,⭕第3希望,販売・サービス,販売・サービス,販売・サービス,製造業（食品系）,保育・幼児教育,,
2,2,3,男,5N,江南市立布袋東保育園,保育園,江南市小折町八反畑１４７,35.311016,136.875839,7/29(水),上小田井駅,北名古屋市沖村町,9.9,⭕第3希望,販売・サービス,販売・サービス,販売・サービス,製造業（食品系）,保育・幼児教育,,
2,2,4,男,5N,江南市立布袋東保育園,保育園,江南市小折町八反畑１４７,35.311016,136.875839,7/29(水),,北名古屋市,9.4,⭕第3希望,販売・サービス,販売・サービス,販売・サービス,製造業（食品系）,保育・幼児教育,,
2,2,5,男,5C,江南市立布袋西保育園,1歳～5歳児を保育する保育所,江南市木賀町定和３１,35.323299,136.867432,7/28(火),江南駅,江南市東野町,1.0,⭕第3希望,販売・サービス,販売・サービス,販売・サービス,製造業（食品系）,保育・幼児教育,,
2,2,6,女,5D,江南市立古知野北保育園,保育園　児童福祉施設,江南市勝佐町田代137番地,35.354492,136.88533,7/27(月),羽黒駅,犬山市長者町,6.0,⭕第3希望,運輸・物流,運輸・物流,配送・運搬（物流）,販売・サービス,保育・幼児教育,7/29、30,
2,2,7,女,41A,株式会社愛知イエローハット　一宮店,小売・サービス業（カー用品）,一宮市緑４－３ー１３,35.299957,136.822708,8/25(火),一宮駅,一宮市浅井町,1.8,✅IL一致,販売・サービス,販売・サービス,販売・サービス,製造業（全般）,製造業（食品系）,,
2,2,8,男,5A,九品寺幼稚園,幼児教育　保育,一宮市真清田2-14-7,35.311146,136.802643,7/27(月),一宮駅,一宮市,0.8,✅IL一致,保育・幼児教育,製造（食品）,保育・幼児教育,製造業（食品系）,販売・サービス,,
2,2,9,女,3C,福玉ロジスティクス株式会社　大口センター,物流業,集合場所：丹羽郡大口町御供所1-65　就業体験場所：丹羽郡大口町御供所3丁目122番地,35.314816,136.893631,7/30(木),新木曽川駅,一宮市,2.7,✅IL一致,運輸・物流,運輸・物流,配送・運搬（物流）,製造業（食品系）,販売・サービス,,
2,2,10,女,5N,江南市立布袋東保育園,保育園,江南市小折町八反畑１４７,35.311016,136.875839,7/29(水),徳重名古屋芸大前駅,小牧市多気南町,7.1,⭕第2希望,製造（食品）,販売・サービス,販売・サービス,保育・幼児教育,製造業（食品系）,,
2,2,11,女,3D,ＮＸキャッシュ・ロジスティクス株式会社　中部支店,物流業・警備業,愛知県名古屋市中村区並木1-81-1,35.154476,136.850098,7/27(月),徳重名古屋芸大前駅,北名古屋市,11.4,✅IL一致,運輸・物流,運輸・物流,配送・運搬（物流）,販売・サービス,製造業（食品系）,,
2,2,12,女,5J,江南市立布袋北保育園,保育園,江南市安良町八王子137,35.324711,136.881989,7/28(火),木津用水駅,犬山市上野新町,1.9,⭕第3希望,製造（食品）,販売・サービス,販売・サービス,製造業（食品系）,保育・幼児教育,,
2,2,13,女,5C,江南市立布袋西保育園,1歳～5歳児を保育する保育所,江南市木賀町定和３１,35.323299,136.867432,7/29(水),江南駅,江南市前飛保町,1.0,⭕第3希望,販売・サービス,製造（食品）,販売・サービス,製造業（食品系）,保育・幼児教育,,
2,2,14,女,1J,株式会社林商店,ベビー衣料製造,愛知県江南市野白町東千丸88,35.342197,136.874588,7/30(木),江南駅,一宮市浅井町,1.2,✅IL一致,製造（工業）,製造（工業）,製造業（全般）,配送・運搬（物流）,製造業（食品系）,,
2,2,15,男,3D,ＮＸキャッシュ・ロジスティクス株式会社　中部支店,物流業・警備業,愛知県名古屋市中村区並木1-81-1,35.154476,136.850098,7/27(月),西春駅,北名古屋市,13.0,✅IL一致,運輸・物流,販売・サービス,販売・サービス,配送・運搬（物流）,製造業（全般）,,
2,2,16,女,5K,江南市立古知野東保育園,福祉・保育（保育園）,江南市高屋町大師７２番地,35.34539,136.880692,7/27(月),木曽川駅,一宮市,2.4,⭕第3希望,販売・サービス,販売・サービス,販売・サービス,製造業（食品系）,保育・幼児教育,,
2,2,17,女,44A3,FUSION,美容業,一宮市大江2-9-19,35.303356,136.803253,7/29(水),江南駅,一宮市浅井町,6.9,✅IL一致,美容,美容,販売・サービス,製造業（全般）,配送・運搬（物流）,,
2,2,18,男,5J,江南市立布袋北保育園,保育園,江南市安良町八王子137,35.324711,136.881989,7/31(金),森駅,丹羽郡大口町,2.1,✅IL一致,販売・サービス,保育・幼児教育,販売・サービス,福祉・介護,保育・幼児教育,7/29，30,
2,2,19,女,5D,江南市立古知野北保育園,保育園　児童福祉施設,江南市勝佐町田代137番地,35.354492,136.88533,7/28(火),犬山口駅,犬山市,5.7,⭕第2希望,製造（食品）,販売・サービス,販売・サービス,保育・幼児教育,製造業（食品系）,,
2,2,20,女,5N,江南市立布袋東保育園,保育園,江南市小折町八反畑１４７,35.311016,136.875839,7/29(水),上小田井駅,北名古屋市,9.9,⭕第2希望,アパレル,アパレル,販売・サービス,保育・幼児教育,製造業（食品系）,,
2,3,1,女,5N,江南市立布袋東保育園,保育園,江南市小折町八反畑１４７,35.311016,136.875839,7/30(木),西春駅,北名古屋市九坪下葭田町,5.4,⭕第2希望,販売・サービス,製造（食品）,販売・サービス,保育・幼児教育,製造業（食品系）,,
2,3,2,男,5C,江南市立布袋西保育園,1歳～5歳児を保育する保育所,江南市木賀町定和３１,35.323299,136.867432,7/29(水),江南駅,一宮市浅井町,1.0,✅IL一致,販売・サービス,保育・幼児教育,保育・幼児教育,販売・サービス,配送・運搬（物流）,,
2,3,3,男,5C,江南市立布袋西保育園,1歳～5歳児を保育する保育所,江南市木賀町定和３１,35.323299,136.867432,7/30(木),江南駅,江南市藤ヶ丘町,1.0,✅IL一致,保育・幼児教育,販売・サービス,保育・幼児教育,販売・サービス,製造業（食品系）,,
2,3,4,男,5C,江南市立布袋西保育園,1歳～5歳児を保育する保育所,江南市木賀町定和３１,35.323299,136.867432,7/30(木),江南駅,各務原市川島松倉町,1.0,✅IL一致,保育・幼児教育,アパレル,保育・幼児教育,販売・サービス,製造業（食品系）,,
2,3,5,男,2A,福玉米粒麦株式会社,製造業,愛知県江南市南山町西31,35.31641,136.873947,8/24(月),一宮駅,一宮市浅井町,6.6,✅IL一致,製造（工業）,製造（工業）,製造業（全般）,製造業（食品系）,配送・運搬（物流）,,
2,3,6,,1H,リスパック株式会社 真空成形工場,製造業,愛知県犬山市羽黒宮浦1番地,35.34903,136.941666,7/28(火),犬山駅,犬山市,3.3,✅IL一致,製造（工業）,製造（工業）,製造業（全般）,保育・幼児教育,配送・運搬（物流）,,
2,3,7,女,41E,株式会社綿半ホームエイド江南店,小売業,江南市上奈良町緑13,35.332783,136.859161,7/29(水),江南駅,各務原市川島町,1.1,⭕第2希望,製造（食品）,製造（食品）,製造業（食品系）,販売・サービス,製造業（全般）,,
2,3,8,女,41A,株式会社愛知イエローハット　一宮店,小売・サービス業（カー用品）,一宮市緑４－３ー１３,35.299957,136.822708,8/26(水),徳重名古屋芸大前駅,北名古屋市,8.8,✅IL一致,販売・サービス,製造（食品）,販売・サービス,製造業（食品系）,製造業（全般）,,
2,3,9,男,5N,江南市立布袋東保育園,保育園,江南市小折町八反畑１４７,35.311016,136.875839,7/30(木),石仏駅,一宮市千秋町,5.4,✅IL一致,保育・幼児教育,販売・サービス,保育・幼児教育,販売・サービス,福祉・介護,,
2,3,10,女,1G,株式会社青山製作所　大口工場,製造業（自動車部品）,愛知県丹羽郡大口町高橋一丁目8番地,35.3251,136.895706,7/27(月),木曽川堤駅,一宮市北方町,1.7,✅IL一致,製造（工業）,製造（工業）,製造業（全般）,配送・運搬（物流）,製造業（食品系）,,
